2026-04-05 00:48:59.275 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:53:14.816 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:53:15.296 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:55:02.690 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:55:02.704 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:56:13.355 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:56:13.379 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:56:13.660 [error    ] [core        ] [streaming ] streaming_buffer_upstream_error [ccproxy.streaming.buffer] body_preview='{"detail":"Could not parse your authentication token. Please try signing in again."}' body_size=84 body_truncated=False method=POST provider=codex request_id=acd31c71 status_code=401 url=https://chatgpt.com/backend-api/codex/responses
2026-04-05 00:56:41.151 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:56:41.175 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 00:56:41.416 [error    ] [core        ] [streaming ] streaming_buffer_upstream_error [ccproxy.streaming.buffer] body_preview='{"detail":"Could not parse your authentication token. Please try signing in again."}' body_size=84 body_truncated=False method=POST provider=codex request_id=7a46bc3d status_code=401 url=https://chatgpt.com/backend-api/codex/responses
2026-04-05 00:58:04.557 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
